IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
2606:4700:a9:dd28:2950:bfb8:5506:bde9,4,4,0.00,186.85,35.75
2606:4700:a9:c9:81d9:45b9:897b:947f,4,4,0.00,187.68,35.67
2606:4700:a9:1787:1d69:4886:af18:d2e7,4,4,0.00,187.64,28.06
2606:4700:a9:1787:1d69:cb05:bf05:9099,4,4,0.00,185.90,27.48
2606:4700:a9:0:5d82:e639:a56:d424,4,4,0.00,186.52,26.51
2606:4700:a9:76:ac1f:29c:c72b:b893,4,4,0.00,188.59,25.75
2606:4700:a9:dd28:e7e3:49ba:a1f4:6763,4,4,0.00,187.12,24.26
2606:4700:a9:76:ac1f:29c:7c91:2e6,4,4,0.00,188.75,24.19
2606:4700:a9:29:5881:abda:ce7d:a37f,4,4,0.00,188.58,22.90
2606:4700:a9:0:5dbb:eab3:310b:5d89,4,4,0.00,188.45,19.42
